Bisection method: f(x) = e^x - 3xcos(2x) - 8.3
[ 8] c=1.007812500000000; a=1.0000000000; b=1.0156250000
[ 9] c=1.011718750000000; a=1.0078125000; b=1.0156250000
[10] c=1.009765625000000; a=1.0078125000; b=1.0117187500
[11] c=1.010742187500000; a=1.0097656250; b=1.0117187500
[12] c=1.011230468750000; a=1.0107421875; b=1.0117187500
[13] c=1.011474609375000; a=1.0112304688; b=1.0117187500
[14] c=1.011596679687500; a=1.0114746094; b=1.0117187500
[15] c=1.011657714843750; a=1.0115966797; b=1.0117187500
[16] c=1.011688232421875; a=1.0116577148; b=1.0117187500
[17] c=1.011703491210938; a=1.0116882324; b=1.0117187500
[18] c=1.011695861816406; a=1.0116882324; b=1.0117034912
[19] c=1.011692047119141; a=1.0116882324; b=1.0116958618
[20] c=1.011690139770508; a=1.0116882324; b=1.0116920471
[21] c=1.011691093444824; a=1.0116901398; b=1.0116920471
[22] c=1.011691570281982; a=1.0116910934; b=1.0116920471
[23] c=1.011691331863403; a=1.0116910934; b=1.0116915703
[24] c=1.011691451072693; a=1.0116913319; b=1.0116915703
[25] c=1.011691510677338; a=1.0116914511; b=1.0116915703
[26] c=1.011691540479660; a=1.0116915107; b=1.0116915703
[27] c=1.011691555380821; a=1.0116915405; b=1.0116915703
[28] c=1.011691562831402; a=1.0116915554; b=1.0116915703
[29] c=1.011691566556692; a=1.0116915628; b=1.0116915703
[30] c=1.011691568419337; a=1.0116915666; b=1.0116915703
[31] c=1.011691567488015; a=1.0116915666; b=1.0116915684
[32] c=1.011691567488015; a=1.0116915666; b=1.0116915675
False Position method: f(x) = e^{x*sinx}-x*cos(2x)-2.8
[ 1] c=0.556372993064394; a=0.0000000000; b=2.0000000000
[ 2] c=0.942356798648692; a=0.5563729931; b=2.0000000000
[ 3] c=1.019172528010301; a=0.9423567986; b=2.0000000000
[ 4] c=1.011346954791214; a=0.9423567986; b=1.0191725280
[ 5] c=1.011689986625922; a=1.0113469548; b=1.0191725280
[ 6] c=1.011691559517089; a=1.0116899866; b=1.0191725280
[ 7] c=1.011691566726268; a=1.0116915595; b=1.0191725280
[ 8] c=1.011691566759310; a=1.0116915667; b=1.0191725280
Modify False Position method: f(x) = e^{x*sinx}-x*cos(2x)-2.8
[ 1] c=0.556372993064394; a=0.0000000000; b=2.0000000000
[ 2] c=1.165482473800165; a=0.5563729931; b=2.0000000000
[ 3] c=0.849032006092321; a=0.5563729931; b=1.1654824738
[ 4] c=1.049908293723217; a=0.8490320061; b=1.1654824738
[ 5] c=0.979549389575539; a=0.8490320061; b=1.0499082937
[ 6] c=1.022960117210371; a=0.9795493896; b=1.0499082937
[ 7] c=1.004779552774487; a=0.9795493896; b=1.0229601172
[ 8] c=1.014745224211180; a=1.0047795528; b=1.0229601172
[ 9] c=1.010055024947353; a=1.0047795528; b=1.0147452242
[10] c=1.012478066881411; a=1.0100550249; b=1.0147452242
[11] c=1.011289623649608; a=1.0100550249; b=1.0124780669
[12] c=1.011890123133919; a=1.0112896236; b=1.0124780669
[13] c=1.011591632695508; a=1.0112896236; b=1.0118901231
[14] c=1.011741355515600; a=1.0115916327; b=1.0118901231
[15] c=1.011666624427842; a=1.0115916327; b=1.0117413555
[16] c=1.011704025062356; a=1.0116666244; b=1.0117413555
[17] c=1.011685334177785; a=1.0116666244; b=1.0117040251
[18] c=1.011694682138522; a=1.0116853342; b=1.0117040251
[19] c=1.011690008828517; a=1.0116853342; b=1.0116946821
[20] c=1.011692345661201; a=1.0116900088; b=1.0116946821
[21] c=1.011691177291816; a=1.0116900088; b=1.0116923457
[22] c=1.011691761488880; a=1.0116911773; b=1.0116923457
[23] c=1.011691469393599; a=1.0116911773; b=1.0116917615
[24] c=1.011691615442092; a=1.0116914694; b=1.0116917615
[25] c=1.011691542418069; a=1.0116914694; b=1.0116916154
[26] c=1.011691578930139; a=1.0116915424; b=1.0116916154
[27] c=1.011691560674119; a=1.0116915424; b=1.0116915789
[28] c=1.011691569802132; a=1.0116915607; b=1.0116915789
[29] c=1.011691565238127; a=1.0116915607; b=1.0116915698
[30] c=1.011691567520130; a=1.0116915652; b=1.0116915698
[31] c=1.011691566379128; a=1.0116915652; b=1.0116915675
[32] c=1.011691566949629; a=1.0116915664; b=1.0116915675
Modify Secant method: f(x) = e^{x*sinx}-x*cos(2x)-2.8
[ 1] c=0.556372993064394; a=2.0000000000; b=0.5563729931
[ 2] c=0.942356798648692; a=0.5563729931; b=0.9423567986
[ 3] c=1.047821044915895; a=0.9423567986; b=1.0478210449
[ 4] c=1.010082627040535; a=1.0478210449; b=1.0100826270
[ 5] c=1.011657082603265; a=1.0100826270; b=1.0116570826
[ 6] c=1.011691601121363; a=1.0116570826; b=1.0116916011
[ 7] c=1.011691566758730; a=1.0116916011; b=1.0116915668
[ 8] c=1.011691566759462; a=1.0116915668; b=1.0116915668
Newton method: f(x) = e^{x*sinx}-x*cos(2x)-2.8 a=0, b=2, c=1.7625216407562996
[ 1] c=1.762521640756300
[ 2] c=0.386112081451618
[ 3] c=3.244913658787803
[ 4] c=0.654357878947017
[ 5] c=1.205760562603680
[ 6] c=1.025525501290730
[ 7] c=1.011806040115920
[ 8] c=1.011691574857240
[ 9] c=1.011691566759462
Fixed Point method: f(x) = e^{x*sinx}-x*cos(2x)-2.8 c=0.7857982859249941
[ 1] c=1.455201957927136
[ 2] c=0.326807710981773
[ 3] c=3.483366600630722
[ 4] c=-5.086811318993569
[ 5] c=2.015419254338056
[ 6] c=0.471278387014639
[ 7] c=2.475517919807927
[ 8] c=1.973456935370884
[ 9] c=0.390766021833011
[10] c=2.951136397310934
[11] c=9.043119899824298
[12] c=5.997084641349345
[13] c=-7.297560143721460
[14] c=-2.115221199336033
[15] c=-1.554587981556691
[16] c=-1.471235671516338
[17] c=-1.452265515395140
[18] c=-1.448014307708896
[19] c=-1.447066953227680
[20] c=-1.446856131266316
[21] c=-1.446809230099414
[22] c=-1.446798796812306
[23] c=-1.446796475936374
[24] c=-1.446795959661261
[25] c=-1.446795844816782
[26] c=-1.446795819269837
[27] c=-1.446795813586965
[28] c=-1.446795812322821
[29] c=-1.446795812041614
Bisection method: f(x) = sin(cos(e^x))
[ 1] c=0.500000000000000; a=0.0000000000; b=1.0000000000
[ 2] c=0.250000000000000; a=0.0000000000; b=0.5000000000
[ 3] c=0.375000000000000; a=0.2500000000; b=0.5000000000
[ 4] c=0.437500000000000; a=0.3750000000; b=0.5000000000
[ 5] c=0.468750000000000; a=0.4375000000; b=0.5000000000
[ 6] c=0.453125000000000; a=0.4375000000; b=0.4687500000
[ 7] c=0.445312500000000; a=0.4375000000; b=0.4531250000
[ 8] c=0.449218750000000; a=0.4453125000; b=0.4531250000
[ 9] c=0.451171875000000; a=0.4492187500; b=0.4531250000
[10] c=0.452148437500000; a=0.4511718750; b=0.4531250000
[11] c=0.451660156250000; a=0.4511718750; b=0.4521484375
[12] c=0.451416015625000; a=0.4511718750; b=0.4516601562
[13] c=0.451538085937500; a=0.4514160156; b=0.4516601562
[14] c=0.451599121093750; a=0.4515380859; b=0.4516601562
[15] c=0.451568603515625; a=0.4515380859; b=0.4515991211
[16] c=0.451583862304688; a=0.4515686035; b=0.4515991211
[17] c=0.451576232910156; a=0.4515686035; b=0.4515838623
[18] c=0.451580047607422; a=0.4515762329; b=0.4515838623
[19] c=0.451581954956055; a=0.4515800476; b=0.4515838623
[20] c=0.451582908630371; a=0.4515819550; b=0.4515838623
[21] c=0.451582431793213; a=0.4515819550; b=0.4515829086
[22] c=0.451582670211792; a=0.4515824318; b=0.4515829086
[23] c=0.451582789421082; a=0.4515826702; b=0.4515829086
[24] c=0.451582729816437; a=0.4515826702; b=0.4515827894
[25] c=0.451582700014114; a=0.4515826702; b=0.4515827298
[26] c=0.451582714915276; a=0.4515827000; b=0.4515827298
[27] c=0.451582707464695; a=0.4515827000; b=0.4515827149
[28] c=0.451582703739405; a=0.4515827000; b=0.4515827075
[29] c=0.451582705602050; a=0.4515827037; b=0.4515827075
[30] c=0.451582704670727; a=0.4515827037; b=0.4515827056
[31] c=0.451582704670727; a=0.4515827047; b=0.4515827056
False Position method: f(x) = sin(cos(e^x))
[ 1] c=0.394184091954313; a=0.0000000000; b=1.0000000000
[ 2] c=0.454491366773176; a=0.3941840920; b=1.0000000000
[ 3] c=0.451491211351665; a=0.3941840920; b=0.4544913668
[ 4] c=0.451582572907035; a=0.4514912114; b=0.4544913668
[ 5] c=0.451582705097943; a=0.4515825729; b=0.4544913668
[ 6] c=0.451582705289178; a=0.4515827051; b=0.4544913668
Modify False Position method: f(x) = sin(cos(e^x))
[ 1] c=0.394184091954313; a=0.0000000000; b=1.0000000000
[ 2] c=0.503878837298672; a=0.3941840920; b=1.0000000000
[ 3] c=0.431683218538125; a=0.3941840920; b=0.5038788373
[ 4] c=0.462279118735227; a=0.4316832185; b=0.5038788373
[ 5] c=0.446309469425576; a=0.4316832185; b=0.4622791187
[ 6] c=0.454206332037619; a=0.4463094694; b=0.4622791187
[ 7] c=0.450259825119316; a=0.4463094694; b=0.4542063320
[ 8] c=0.452239424187607; a=0.4502598251; b=0.4542063320
[ 9] c=0.451252679416439; a=0.4502598251; b=0.4522394242
[10] c=0.451747178920222; a=0.4512526794; b=0.4522394242
[11] c=0.451500303294279; a=0.4512526794; b=0.4517471789
[12] c=0.451623857333201; a=0.4515003033; b=0.4517471789
[13] c=0.451562115128074; a=0.4515003033; b=0.4516238573
[14] c=0.451592996357557; a=0.4515621151; b=0.4516238573
[15] c=0.451577558633244; a=0.4515621151; b=0.4515929964
[16] c=0.451585278307200; a=0.4515775586; b=0.4515929964
[17] c=0.451581418695548; a=0.4515775586; b=0.4515852783
[18] c=0.451583348563287; a=0.4515814187; b=0.4515852783
[19] c=0.451582383646293; a=0.4515814187; b=0.4515833486
[20] c=0.451582866109358; a=0.4515823836; b=0.4515833486
[21] c=0.451582624879055; a=0.4515823836; b=0.4515828661
[22] c=0.451582745494535; a=0.4515826249; b=0.4515828661
[23] c=0.451582685186883; a=0.4515826249; b=0.4515827455
[24] c=0.451582715340733; a=0.4515826852; b=0.4515827455
[25] c=0.451582700263814; a=0.4515826852; b=0.4515827153
[26] c=0.451582707802275; a=0.4515827003; b=0.4515827153
[27] c=0.451582704033045; a=0.4515827003; b=0.4515827078
[28] c=0.451582705917660; a=0.4515827040; b=0.4515827078
[29] c=0.451582704975352; a=0.4515827040; b=0.4515827059
Modify Secant method: f(x) = sin(cos(e^x))
[ 1] c=0.394184091954313; a=1.0000000000; b=0.3941840920
[ 2] c=0.454491366773176; a=0.3941840920; b=0.4544913668
[ 3] c=0.451491211351665; a=0.4544913668; b=0.4514912114
[ 4] c=0.451582572907035; a=0.4514912114; b=0.4515825729
[ 5] c=0.451582705295512; a=0.4515825729; b=0.4515827053
[ 6] c=0.451582705289455; a=0.4515827053; b=0.4515827053
Newton method: f(x) = sin(cos(e^x)) a=0, b=1, c=0.7244322922978244
[ 1] c=0.724432292297824
[ 2] c=0.442909655765581
[ 3] c=0.451621493757114
[ 4] c=0.451582706041622
Fixed Point method: f(x) = sin(cos(e^x)) c=0.557233834266841
Divergence
Bisection method: f(x) = e^{x*sin(x)} + cos(x)
[ 1] c=3.000000000000000; a=2.0000000000; b=4.0000000000
[ 2] c=3.500000000000000; a=3.0000000000; b=4.0000000000
[ 3] c=3.250000000000000; a=3.0000000000; b=3.5000000000
[ 4] c=3.375000000000000; a=3.2500000000; b=3.5000000000
[ 5] c=3.437500000000000; a=3.3750000000; b=3.5000000000
[ 6] c=3.468750000000000; a=3.4375000000; b=3.5000000000
[ 7] c=3.484375000000000; a=3.4687500000; b=3.5000000000
[ 8] c=3.476562500000000; a=3.4687500000; b=3.4843750000
[ 9] c=3.472656250000000; a=3.4687500000; b=3.4765625000
[10] c=3.470703125000000; a=3.4687500000; b=3.4726562500
[11] c=3.471679687500000; a=3.4707031250; b=3.4726562500
[12] c=3.472167968750000; a=3.4716796875; b=3.4726562500
[13] c=3.471923828125000; a=3.4716796875; b=3.4721679688
[14] c=3.471801757812500; a=3.4716796875; b=3.4719238281
[15] c=3.471862792968750; a=3.4718017578; b=3.4719238281
[16] c=3.471893310546875; a=3.4718627930; b=3.4719238281
[17] c=3.471878051757812; a=3.4718627930; b=3.4718933105
[18] c=3.471885681152344; a=3.4718780518; b=3.4718933105
[19] c=3.471889495849609; a=3.4718856812; b=3.4718933105
[20] c=3.471887588500977; a=3.4718856812; b=3.4718894958
[21] c=3.471888542175293; a=3.4718875885; b=3.4718894958
[22] c=3.471889019012451; a=3.4718885422; b=3.4718894958
[23] c=3.471888780593872; a=3.4718885422; b=3.4718890190
[24] c=3.471888899803162; a=3.4718887806; b=3.4718890190
[25] c=3.471888959407806; a=3.4718888998; b=3.4718890190
[26] c=3.471888929605484; a=3.4718888998; b=3.4718889594
[27] c=3.471888914704323; a=3.4718888998; b=3.4718889296
[28] c=3.471888922154903; a=3.4718889147; b=3.4718889296
[29] c=3.471888918429613; a=3.4718889147; b=3.4718889222
[30] c=3.471888916566968; a=3.4718889147; b=3.4718889184
[31] c=3.471888917498291; a=3.4718889166; b=3.4718889184
[32] c=3.471888917498291; a=3.4718889175; b=3.4718889184
False Position method: f(x) = e^{x*sin(x)} + cos(x)
[ 1] c=3.817924097242658; a=2.0000000000; b=4.0000000000
[ 2] c=3.690236410143028; a=2.0000000000; b=3.8179240972
